(Solver id, No. of times it occurred) 
(94599137, 98) 
(30523627, 80) 
(52068145, 74) 
(39942442, 74) 
(39942441, 68) 
(94599138, 66) 
(39942440, 65) 
(87479577, 63) 
(30523628, 62) 
(52068146, 61) 
(39942443, 61) 
(87479580, 58) 
(87479578, 58) 
(93485612, 56) 
(30523625, 54) 
(94599139, 53) 
(94599140, 50) 
(52068147, 50) 
(87479579, 50) 
(30523626, 47) 
(52068148, 35) 
(99720138, 31) 
(95762355, 30) 
(58743452, 24) 
(71929702, 22) 
(22938023, 21) 
(95762354, 18) 
(81986705, 17) 
(21591613, 17) 
(32110531, 16) 
(95762352, 16) 
(30870723, 16) 
(21591614, 16) 
(22938022, 15) 
(66604316, 15) 
(22938024, 14) 
(30870722, 14) 
(30870720, 14) 
(11256942, 14) 
(22938021, 13) 
Total count for all 184 solvers : 2488
