DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmetricInfinityNorm,DiagonalMean,solver,actualclass,predictedclass, predicted, error, probability distribution,inst#
20001,1590000,100,1610000,20001,100,80.4569,59072881,bad,bad,   0     *1    ,,,1
20001,1590000,100,1610000,20001,100,80.4569,75830647,good,good,  *0.791  0.209,,,2
20002,334033,49,345368,20002,49,17.2667,43373442,bad,bad,   0     *1    ,,,3
20002,334033,49,345368,20002,49,17.2667,81986705,bad,bad,   0     *1    ,,,4
20002,334033,49,345368,20002,49,17.2667,19932324,bad,bad,   0     *1    ,,,5
20002,334033,49,345368,20002,49,17.2667,80361467,bad,bad,   0     *1    ,,,6
20002,334033,49,345368,20002,49,17.2667,1216556,bad,bad,   0     *1    ,,,7
20002,696736,86,708914,20002,86,35.4422,8793453,bad,bad,   0     *1    ,,,8
20002,696736,86,708914,20002,86,35.4422,29030070,bad,bad,   0.001 *0.999,,,9
20002,696736,86,708914,20002,86,35.4422,13323659,bad,bad,   0.001 *0.999,,,10
20002,696736,86,708914,20002,86,35.4422,29553942,bad,bad,   0     *1    ,,,11
20002,571390,86,582860,20002,86,29.1401,53302993,bad,bad,   0.002 *0.998,,,12
20002,571390,86,582860,20002,86,29.1401,75830645,good,good,  *0.786  0.214,,,13
20002,571390,86,582860,20002,86,29.1401,1216556,bad,bad,   0     *1    ,,,14
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,43373442,bad,bad,   0     *1    ,,,15
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,29030070,bad,bad,   0.009 *0.991,,,16
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,26415434,bad,bad,   0     *1    ,,,17
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,45869640,good,good,  *0.932  0.068,,,18
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,90197665,bad,bad,   0     *1    ,,,19
20002,532053,88,543766,20002,88,27.1856,32168838,bad,bad,   0.008 *0.992,,,20
20002,532053,88,543766,20002,88,27.1856,29030070,bad,bad,   0.001 *0.999,,,21
20002,532053,88,543766,20002,88,27.1856,26415432,good,good,  *0.709  0.291,,,22
20002,358703,48,369238,20002,48,18.46,26415432,good,good,  *0.709  0.291,,,23
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,59072881,bad,bad,   0     *1    ,,,24
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,53302993,bad,bad,   0.002 *0.998,,,25
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,19932324,bad,bad,   0     *1    ,,,26
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,75830647,good,good,  *0.791  0.209,,,27
10001,506051,114,512984,20002,116,25.6466,32168839,bad,bad,   0.008 *0.992,,,28
10001,506051,114,512984,20002,116,25.6466,26415432,bad,bad,   0.003 *0.997,,,29
10001,506051,114,512984,20002,116,25.6466,80361466,bad,bad,   0     *1    ,,,30
20002,538054,86,548751,20002,86,27.4348,32168838,bad,bad,   0.008 *0.992,,,31
20002,538054,86,548751,20002,86,27.4348,5890862,bad,bad,   0     *1    ,,,32
20002,538054,86,548751,20002,86,27.4348,29030070,bad,bad,   0.001 *0.999,,,33
20002,538054,86,548751,20002,86,27.4348,26415432,bad,good,  *0.709  0.291,,,34
20002,649398,86,662194,20002,86,33.1064,59072882,bad,bad,   0     *1    ,,,35
20002,649398,86,662194,20002,86,33.1064,49834419,bad,bad,   0     *1    ,,,36
20002,649398,86,662194,20002,86,33.1064,80361467,bad,bad,   0     *1    ,,,37
20002,649398,86,662194,20002,86,33.1064,75830647,good,good,  *0.791  0.209,,,38
20002,424709,49,433378,20002,49,21.6668,59072882,bad,bad,   0     *1    ,,,39
20002,424709,49,433378,20002,49,21.6668,29030070,bad,bad,   0.001 *0.999,,,40
20002,424709,49,433378,20002,49,21.6668,26415434,good,good,  *0.697  0.303,,,41
20002,424709,49,433378,20002,49,21.6668,13323659,bad,bad,   0.001 *0.999,,,42
20002,424709,49,433378,20002,49,21.6668,75830645,good,good,  *0.786  0.214,,,43
20002,696736,86,708746,20002,86,35.4338,53302993,bad,bad,   0.002 *0.998,,,44
20002,696736,86,708746,20002,86,35.4338,44526267,bad,bad,   0     *1    ,,,45
20002,696736,86,708746,20002,86,35.4338,29030070,bad,bad,   0.001 *0.999,,,46
20002,774077,86,786451,20002,86,39.3186,44526267,bad,bad,   0     *1    ,,,47
20002,774077,86,786451,20002,86,39.3186,49834419,bad,bad,   0     *1    ,,,48
20002,774077,86,786451,20002,86,39.3186,5890862,bad,bad,   0     *1    ,,,49
20002,774077,86,786451,20002,86,39.3186,29030070,bad,bad,   0.001 *0.999,,,50
20002,774077,86,786451,20002,86,39.3186,26415432,good,good,  *0.709  0.291,,,51
20002,774077,86,786451,20002,86,39.3186,81986705,bad,bad,   0     *1    ,,,52
20002,774077,86,786451,20002,86,39.3186,29553942,bad,bad,   0     *1    ,,,53
20002,696736,86,708996,20002,86,35.4463,90197667,bad,bad,   0     *1    ,,,54
20002,696736,86,708996,20002,86,35.4463,59072882,bad,bad,   0     *1    ,,,55
20002,696736,86,708996,20002,86,35.4463,8793453,bad,bad,   0     *1    ,,,56
20002,696736,86,708996,20002,86,35.4463,32168839,bad,bad,   0.008 *0.992,,,57
20002,696736,86,708996,20002,86,35.4463,32168838,bad,bad,   0.008 *0.992,,,58
20002,696736,86,708996,20002,86,35.4463,19932324,bad,bad,   0     *1    ,,,59
20002,696736,86,708996,20002,86,35.4463,80361466,bad,bad,   0     *1    ,,,60
20002,696736,86,708996,20002,86,35.4463,80361467,bad,bad,   0     *1    ,,,61
9334.27,1190000,247,1190000,20002,249,59.5851,44526267,bad,bad,   0     *1    ,,,62
9334.27,1190000,247,1190000,20002,249,59.5851,32168838,bad,bad,   0.008 *0.992,,,63
9334.27,1190000,247,1190000,20002,249,59.5851,29030070,bad,bad,   0     *1    ,,,64
9334.27,1190000,247,1190000,20002,249,59.5851,13323659,bad,bad,   0.001 *0.999,,,65
9334.27,1190000,247,1190000,20002,249,59.5851,81986705,bad,bad,   0     *1    ,,,66
9334.27,1190000,247,1190000,20002,249,59.5851,29553942,bad,bad,   0     *1    ,,,67
9334.27,1190000,247,1190000,20002,249,59.5851,69654761,bad,bad,   0     *1    ,,,68
20002,650065,87,662216,20002,87,33.1075,59072881,bad,bad,   0     *1    ,,,69
20002,650065,87,662216,20002,87,33.1075,29553942,bad,bad,   0     *1    ,,,70
20002,650065,87,662216,20002,87,33.1075,32874609,bad,bad,   0     *1    ,,,71
20002,650065,87,662216,20002,87,33.1075,90197665,bad,bad,   0     *1    ,,,72
20002,650065,87,662216,20002,87,33.1075,1216556,bad,bad,   0     *1    ,,,73
20002,1630000,247,1640000,20002,247,82.0953,59072881,bad,bad,   0     *1    ,,,74
20002,1630000,247,1640000,20002,247,82.0953,53302993,bad,bad,   0.002 *0.998,,,75
20002,1630000,247,1640000,20002,247,82.0953,43373442,bad,bad,   0     *1    ,,,76
20164,72590.4,9,82556.4,20164,8,4.09425,59072881,bad,bad,   0     *1    ,,,77
20164,72590.4,9,82556.4,20164,8,4.09425,36025722,bad,bad,   0.009 *0.991,,,78
20164,72590.4,9,82556.4,20164,8,4.09425,8793453,bad,bad,   0     *1    ,,,79
20164,72590.4,9,82556.4,20164,8,4.09425,32168838,bad,bad,   0.008 *0.992,,,80
20164,72590.4,9,82556.4,20164,8,4.09425,5890862,bad,bad,   0     *1    ,,,81
20164,72590.4,9,82556.4,20164,8,4.09425,26415432,bad,bad,   0.004 *0.996,,,82
20164,72590.4,9,82556.4,20164,8,4.09425,32874609,bad,bad,   0     *1    ,,,83
20164,72590.4,9,82556.4,20164,8,4.09425,75830647,good,good,  *0.791  0.209,,,84
28000,37333.3,4,48566.2,40000,3,1.21415,36025722,bad,bad,   0.009 *0.991,,,85
28000,37333.3,4,48566.2,40000,3,1.21415,44526267,bad,bad,   0     *1    ,,,86
28000,37333.3,4,48566.2,40000,3,1.21415,69654761,bad,bad,   0     *1    ,,,87
21576,3180000,558,3180000,21576,416,147.498,81986705,bad,bad,   0     *1    ,,,88
21576,3180000,558,3180000,21576,416,147.498,29553942,bad,bad,   0     *1    ,,,89
21576,3180000,558,3180000,21576,416,147.498,90197665,bad,bad,   0     *1    ,,,90
20002,448045,50,456955,20002,50,22.8455,44526267,bad,bad,   0     *1    ,,,91
20002,448045,50,456955,20002,50,22.8455,32168839,bad,bad,   0.008 *0.992,,,92
