DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmetricInfinityNorm,DiagonalMean,solver,actualclass,predictedclass, predicted, error, probability distribution,inst#
20002,448045,50,456955,20002,50,22.8455,81986705,bad,bad,   0     *1    ,,,93
20002,448045,50,456955,20002,50,22.8455,90197665,bad,bad,   0     *1    ,,,94
20002,696070,86,707652,20002,86,35.3791,90197667,bad,bad,   0     *1    ,,,95
20002,696070,86,707652,20002,86,35.3791,53302993,bad,bad,   0.002 *0.998,,,96
20002,696070,86,707652,20002,86,35.3791,29030070,bad,bad,   0.001 *0.999,,,97
20002,696070,86,707652,20002,86,35.3791,26415434,good,good,  *0.697  0.303,,,98
38666.7,164000,43,184874,40000,15,4.62186,90197667,bad,bad,   0     *1    ,,,99
38666.7,164000,43,184874,40000,15,4.62186,29553942,bad,bad,   0     *1    ,,,100
38666.7,164000,43,184874,40000,15,4.62186,90197665,bad,bad,   0     *1    ,,,101
38666.7,164000,43,184874,40000,15,4.62186,80361467,bad,bad,   0     *1    ,,,102
20002,1630000,247,1640000,20002,247,82.1634,32168838,bad,bad,   0.008 *0.992,,,103
20002,1630000,247,1640000,20002,247,82.1634,49834419,bad,bad,   0     *1    ,,,104
20002,1630000,247,1640000,20002,247,82.1634,43373442,bad,bad,   0     *1    ,,,105
20002,1630000,247,1640000,20002,247,82.1634,45869640,good,good,  *0.932  0.068,,,106
20002,1630000,247,1640000,20002,247,82.1634,80361467,bad,bad,   0     *1    ,,,107
20002,1630000,247,1640000,20002,247,82.1634,75830647,bad,good,  *0.791  0.209,,,108
20002,656732,86,668568,20002,86,33.4251,59072882,bad,bad,   0     *1    ,,,109
20002,656732,86,668568,20002,86,33.4251,59072881,bad,bad,   0     *1    ,,,110
20002,656732,86,668568,20002,86,33.4251,8793453,bad,bad,   0     *1    ,,,111
20002,656732,86,668568,20002,86,33.4251,32168839,bad,bad,   0.008 *0.992,,,112
20002,656732,86,668568,20002,86,33.4251,43373442,bad,bad,   0     *1    ,,,113
20002,656732,86,668568,20002,86,33.4251,13323659,bad,bad,   0.001 *0.999,,,114
20002,656732,86,668568,20002,86,33.4251,45869640,good,good,  *0.932  0.068,,,115
20002,656732,86,668568,20002,86,33.4251,90197665,bad,bad,   0     *1    ,,,116
20002,656732,86,668568,20002,86,33.4251,80361467,bad,bad,   0     *1    ,,,117
20002,692736,85,705218,20002,85,35.2574,59072881,bad,bad,   0     *1    ,,,118
20002,692736,85,705218,20002,85,35.2574,32168839,bad,bad,   0.008 *0.992,,,119
20002,692736,85,705218,20002,85,35.2574,49834419,bad,bad,   0     *1    ,,,120
20002,692736,85,705218,20002,85,35.2574,29030070,bad,bad,   0.001 *0.999,,,121
20002,692736,85,705218,20002,85,35.2574,26415432,good,good,  *0.709  0.291,,,122
20002,692736,85,705218,20002,85,35.2574,81986705,bad,bad,   0     *1    ,,,123
20002,728740,86,741465,20002,86,37.0695,36025722,bad,bad,   0.009 *0.991,,,124
20002,728740,86,741465,20002,86,37.0695,53302993,bad,bad,   0.002 *0.998,,,125
20002,728740,86,741465,20002,86,37.0695,69654761,bad,bad,   0     *1    ,,,126
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,90197667,bad,bad,   0     *1    ,,,127
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,53302993,bad,bad,   0.002 *0.998,,,128
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,5890862,bad,bad,   0     *1    ,,,129
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,29030070,bad,bad,   0.009 *0.991,,,130
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,13323659,bad,bad,   0.001 *0.999,,,131
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,19932324,bad,bad,   0     *1    ,,,132
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,75830647,good,good,  *0.791  0.209,,,133
20002,690736,86,704102,20002,86,35.2016,53302993,bad,bad,   0.002 *0.998,,,134
20002,690736,86,704102,20002,86,35.2016,5890862,bad,bad,   0     *1    ,,,135
20002,690736,86,704102,20002,86,35.2016,26415434,good,good,  *0.697  0.303,,,136
20002,690736,86,704102,20002,86,35.2016,19932324,bad,bad,   0     *1    ,,,137
20002,690736,86,704102,20002,86,35.2016,1216556,bad,bad,   0     *1    ,,,138
20002,1740000,247,1750000,20002,247,87.3315,32168838,bad,bad,   0.008 *0.992,,,139
20002,1740000,247,1750000,20002,247,87.3315,43373442,bad,bad,   0     *1    ,,,140
20002,1740000,247,1750000,20002,247,87.3315,29030070,bad,bad,   0.001 *0.999,,,141
20002,1740000,247,1750000,20002,247,87.3315,45869640,good,good,  *0.932  0.068,,,142
20002,1740000,247,1750000,20002,247,87.3315,32874609,bad,bad,   0     *1    ,,,143
20002,1740000,247,1750000,20002,247,87.3315,19932324,bad,bad,   0     *1    ,,,144
20002,1740000,247,1750000,20002,247,87.3315,80361467,bad,bad,   0     *1    ,,,145
20002,1740000,247,1750000,20002,247,87.3315,1216556,bad,bad,   0     *1    ,,,146
12001.2,1460000,246,1460000,20002,248,73.0696,32168839,bad,bad,   0.008 *0.992,,,147
12001.2,1460000,246,1460000,20002,248,73.0696,45869640,good,good,  *0.932  0.068,,,148
12001.2,1460000,246,1460000,20002,248,73.0696,19932324,bad,bad,   0     *1    ,,,149
12001.2,1460000,246,1460000,20002,248,73.0696,80361466,bad,bad,   0     *1    ,,,150
12001.2,1460000,246,1460000,20002,248,73.0696,1216556,bad,bad,   0     *1    ,,,151
12001.2,1460000,246,1460000,20002,248,73.0696,75830647,good,good,  *0.791  0.209,,,152
20002,494049,86,505710,20002,86,25.2829,59072882,bad,bad,   0     *1    ,,,153
20002,494049,86,505710,20002,86,25.2829,36025722,bad,bad,   0.009 *0.991,,,154
20002,494049,86,505710,20002,86,25.2829,26415434,bad,good,  *0.697  0.303,,,155
20002,494049,86,505710,20002,86,25.2829,45869640,good,good,  *0.932  0.068,,,156
20002,494049,86,505710,20002,86,25.2829,81986705,bad,bad,   0     *1    ,,,157
20002,494049,86,505710,20002,86,25.2829,29553942,bad,bad,   0     *1    ,,,158
20002,424709,48,433889,20002,48,21.6923,53302993,bad,bad,   0.002 *0.998,,,159
20002,424709,48,433889,20002,48,21.6923,1216556,bad,bad,   0     *1    ,,,160
8000.8,1070000,252,1080000,20002,254,53.8246,26415434,bad,bad,   0     *1    ,,,161
8000.8,1070000,252,1080000,20002,254,53.8246,13323659,bad,bad,   0.001 *0.999,,,162
8000.8,1070000,252,1080000,20002,254,53.8246,45869640,good,good,  *0.932  0.068,,,163
8000.8,1070000,252,1080000,20002,254,53.8246,75830645,good,good,  *0.786  0.214,,,164
8000.8,1070000,252,1080000,20002,254,53.8246,29553942,bad,bad,   0     *1    ,,,165
8000.8,1070000,252,1080000,20002,254,53.8246,1216556,bad,bad,   0     *1    ,,,166
8000.8,1070000,252,1080000,20002,254,53.8246,75830647,good,good,  *0.791  0.209,,,167
20002,650065,87,662216,20002,87,33.1075,75830645,bad,good,  *0.786  0.214,,,168
20002,1740000,247,1750000,20002,247,87.4535,90197667,bad,bad,   0     *1    ,,,169
20002,1740000,247,1750000,20002,247,87.4535,32168838,bad,bad,   0.008 *0.992,,,170
20002,1740000,247,1750000,20002,247,87.4535,13323659,bad,bad,   0.001 *0.999,,,171
29333.3,40000,4,51868,40000,3,1.2967,90197667,bad,bad,   0     *1    ,,,172
29333.3,40000,4,51868,40000,3,1.2967,49834419,bad,bad,   0     *1    ,,,173
29333.3,40000,4,51868,40000,3,1.2967,29030070,bad,bad,   0.001 *0.999,,,174
29333.3,40000,4,51868,40000,3,1.2967,13323659,bad,bad,   0.001 *0.999,,,175
38666.7,178667,43,196633,40000,15,4.91583,59072881,bad,bad,   0     *1    ,,,176
38666.7,178667,43,196633,40000,15,4.91583,5890862,bad,bad,   0     *1    ,,,177
38666.7,178667,43,196633,40000,15,4.91583,80361466,bad,bad,   0     *1    ,,,178
20002,735407,86,747497,20002,86,37.3711,36025722,bad,bad,   0.009 *0.991,,,179
20002,735407,86,747497,20002,86,37.3711,45869640,good,good,  *0.932  0.068,,,180
20002,735407,86,747497,20002,86,37.3711,80361467,bad,bad,   0     *1    ,,,181
20164,73262.5,9,83254.1,20164,8,4.12885,53302993,bad,bad,   0.002 *0.998,,,182
20164,73262.5,9,83254.1,20164,8,4.12885,8793453,bad,bad,   0     *1    ,,,183
20164,73262.5,9,83254.1,20164,8,4.12885,26415434,bad,bad,   0     *1    ,,,184
20002,424042,48,433420,20002,48,21.6688,8793453,bad,bad,   0     *1    ,,,185
20002,424042,48,433420,20002,48,21.6688,5890862,bad,bad,   0     *1    ,,,186
20002,424042,48,433420,20002,48,21.6688,26415434,bad,good,  *0.697  0.303,,,187
20002,424042,48,433420,20002,48,21.6688,26415432,good,good,  *0.709  0.291,,,188
20002,424042,48,433420,20002,48,21.6688,1216556,bad,bad,   0     *1    ,,,189
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,44526267,bad,bad,   0     *1    ,,,190
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,13323659,bad,bad,   0.001 *0.999,,,191
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,75830645,good,good,  *0.786  0.214,,,192
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,90197665,bad,bad,   0     *1    ,,,193
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,75830647,good,good,  *0.791  0.209,,,194
20002,3.83E+11,100000000,3.83E+11,20002,100000000,19200000,5890862,bad,bad,   0     *1    ,,,195
20002,3.83E+11,100000000,3.83E+11,20002,100000000,19200000,81986705,bad,bad,   0     *1    ,,,196
20002,3.83E+11,100000000,3.83E+11,20002,100000000,19200000,90197665,bad,bad,   0     *1    ,,,197
51005,300930,18,322465,51005,18,6.32222,32168838,bad,bad,   0.008 *0.992,,,198
51005,300930,18,322465,51005,18,6.32222,45869640,bad,bad,   0.01  *0.99 ,,,199
20002,426709,48,436127,20002,48,21.8042,90197667,bad,bad,   0     *1    ,,,200
20002,426709,48,436127,20002,48,21.8042,49834419,bad,bad,   0     *1    ,,,201
20002,426709,48,436127,20002,48,21.8042,29030070,bad,bad,   0.001 *0.999,,,202
20002,426709,48,436127,20002,48,21.8042,80361467,bad,bad,   0     *1    ,,,203
20002,426709,48,436127,20002,48,21.8042,75830647,bad,good,  *0.791  0.209,,,204
20002,2060000,248,2070000,20002,248,103.672,90197667,bad,bad,   0     *1    ,,,205
20002,2060000,248,2070000,20002,248,103.672,36025722,bad,bad,   0.009 *0.991,,,206
20002,2060000,248,2070000,20002,248,103.672,53302993,bad,bad,   0.002 *0.998,,,207
20002,2060000,248,2070000,20002,248,103.672,19932324,bad,bad,   0     *1    ,,,208
20002,2060000,248,2070000,20002,248,103.672,80361466,bad,bad,   0     *1    ,,,209
20002,2060000,248,2070000,20002,248,103.672,1216556,bad,bad,   0     *1    ,,,210
20002,2060000,248,2070000,20002,248,103.672,75830647,good,good,  *0.791  0.209,,,211
20002,1740000,247,1750000,20002,247,87.3325,44526267,bad,bad,   0     *1    ,,,212
20002,1740000,247,1750000,20002,247,87.3325,32168839,bad,bad,   0.008 *0.992,,,213
20002,1740000,247,1750000,20002,247,87.3325,49834419,bad,bad,   0     *1    ,,,214
20002,1740000,247,1750000,20002,247,87.3325,29030070,bad,bad,   0.001 *0.999,,,215
20002,1740000,247,1750000,20002,247,87.3325,26415432,bad,good,  *0.709  0.291,,,216
20002,1740000,247,1750000,20002,247,87.3325,81986705,bad,bad,   0     *1    ,,,217
20002,1740000,247,1750000,20002,247,87.3325,69654761,bad,bad,   0     *1    ,,,218
20002,1740000,247,1750000,20002,247,87.3325,90197665,bad,bad,   0     *1    ,,,219
20002,1630000,247,1640000,20002,247,82.1296,59072881,bad,bad,   0     *1    ,,,220
20002,1630000,247,1640000,20002,247,82.1296,44526267,bad,bad,   0     *1    ,,,221
20002,1630000,247,1640000,20002,247,82.1296,29553942,bad,bad,   0     *1    ,,,222
20002,1850000,247,1860000,20002,247,92.8934,53302993,bad,bad,   0.002 *0.998,,,223
20002,1850000,247,1860000,20002,247,92.8934,32168839,bad,bad,   0.008 *0.992,,,224
20002,1850000,247,1860000,20002,247,92.8934,5890862,bad,bad,   0     *1    ,,,225
20002,1850000,247,1860000,20002,247,92.8934,26415434,good,good,  *0.697  0.303,,,226
20002,1850000,247,1860000,20002,247,92.8934,69654761,bad,bad,   0     *1    ,,,227
20002,1850000,247,1860000,20002,247,92.8934,90197665,bad,bad,   0     *1    ,,,228
20002,1850000,247,1860000,20002,247,92.8934,1216556,bad,bad,   0     *1    ,,,229
20002,1630000,247,1640000,20002,247,82.1774,90197667,bad,bad,   0     *1    ,,,230
20002,1630000,247,1640000,20002,247,82.1774,36025722,bad,bad,   0.009 *0.991,,,231
20002,1630000,247,1640000,20002,247,82.1774,44526267,bad,bad,   0     *1    ,,,232
20002,1630000,247,1640000,20002,247,82.1774,32168838,bad,bad,   0.008 *0.992,,,233
20002,1630000,247,1640000,20002,247,82.1774,49834419,bad,bad,   0     *1    ,,,234
20002,1630000,247,1640000,20002,247,82.1774,43373442,bad,bad,   0     *1    ,,,235
20002,1630000,247,1640000,20002,247,82.1774,5890862,bad,bad,   0     *1    ,,,236
20002,1630000,247,1640000,20002,247,82.1774,69654761,bad,bad,   0     *1    ,,,237
20002,1630000,247,1640000,20002,247,82.1774,80361466,bad,bad,   0     *1    ,,,238
20002,1630000,247,1640000,20002,247,82.1774,80361467,bad,bad,   0     *1    ,,,239
20002,1630000,247,1640000,20002,247,82.1774,1216556,bad,bad,   0     *1    ,,,240
47604.7,292429,18,315220,51005,18,6.18017,29553942,bad,bad,   0     *1    ,,,241
47604.7,292429,18,315220,51005,18,6.18017,90197665,bad,bad,   0     *1    ,,,242
47604.7,292429,18,315220,51005,18,6.18017,80361466,bad,bad,   0     *1    ,,,243
20002,447378,49,456199,20002,49,22.8077,90197667,bad,bad,   0     *1    ,,,244
20002,447378,49,456199,20002,49,22.8077,36025722,bad,bad,   0.009 *0.991,,,245
20002,447378,49,456199,20002,49,22.8077,32168838,bad,bad,   0.008 *0.992,,,246
20002,447378,49,456199,20002,49,22.8077,29030070,bad,bad,   0.001 *0.999,,,247
20002,447378,49,456199,20002,49,22.8077,13323659,bad,bad,   0.001 *0.999,,,248
20002,424709,48,434120,20002,48,21.7039,59072882,bad,bad,   0     *1    ,,,249
20002,571390,87,582953,20002,87,29.1447,32168839,bad,bad,   0.008 *0.992,,,250
20002,571390,87,582953,20002,87,29.1447,5890862,bad,bad,   0     *1    ,,,251
20002,571390,87,582953,20002,87,29.1447,26415434,good,good,  *0.697  0.303,,,252
20002,571390,87,582953,20002,87,29.1447,45869640,good,good,  *0.932  0.068,,,253
20002,571390,87,582953,20002,87,29.1447,69654761,bad,bad,   0     *1    ,,,254
20002,571390,87,582953,20002,87,29.1447,1216556,bad,bad,   0     *1    ,,,255
20002,571390,87,582953,20002,87,29.1447,75830647,good,good,  *0.791  0.209,,,256
11334.5,622062,103,626875,20002,105,31.3406,59072882,bad,bad,   0     *1    ,,,257
11334.5,622062,103,626875,20002,105,31.3406,32168839,bad,bad,   0.008 *0.992,,,258
11334.5,622062,103,626875,20002,105,31.3406,19932324,bad,bad,   0     *1    ,,,259
11334.5,622062,103,626875,20002,105,31.3406,1216556,bad,bad,   0     *1    ,,,260
20002,1950000,247,1970000,20002,247,98.2617,59072882,bad,bad,   0     *1    ,,,261
20002,1950000,247,1970000,20002,247,98.2617,36025722,bad,bad,   0.009 *0.991,,,262
20002,1950000,247,1970000,20002,247,98.2617,53302993,bad,bad,   0.002 *0.998,,,263
20002,1950000,247,1970000,20002,247,98.2617,49834419,bad,bad,   0     *1    ,,,264
20002,1950000,247,1970000,20002,247,98.2617,26415432,good,good,  *0.709  0.291,,,265
20002,1950000,247,1970000,20002,247,98.2617,81986705,bad,bad,   0     *1    ,,,266
20002,1950000,247,1970000,20002,247,98.2617,80361467,bad,bad,   0     *1    ,,,267
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,90197667,bad,bad,   0     *1    ,,,268
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,53302993,bad,bad,   0.002 *0.998,,,269
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,26415432,bad,bad,   0     *1    ,,,270
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,80361466,bad,bad,   0     *1    ,,,271
20002,617395,86,628552,20002,86,31.4245,90197667,bad,bad,   0     *1    ,,,272
20002,617395,86,628552,20002,86,31.4245,36025722,bad,bad,   0.009 *0.991,,,273
20002,617395,86,628552,20002,86,31.4245,8793453,bad,bad,   0     *1    ,,,274
20002,617395,86,628552,20002,86,31.4245,29030070,bad,bad,   0.001 *0.999,,,275
20002,617395,86,628552,20002,86,31.4245,26415432,good,good,  *0.709  0.291,,,276
20002,617395,86,628552,20002,86,31.4245,90197665,bad,bad,   0     *1    ,,,277
44204.3,317931,26,350899,51005,25,6.8797,59072881,bad,bad,   0     *1    ,,,278
44204.3,317931,26,350899,51005,25,6.8797,36025722,bad,bad,   0.009 *0.991,,,279
44204.3,317931,26,350899,51005,25,6.8797,81986705,bad,bad,   0     *1    ,,,280
44204.3,317931,26,350899,51005,25,6.8797,90197665,bad,bad,   0     *1    ,,,281
44204.3,317931,26,350899,51005,25,6.8797,80361467,bad,bad,   0     *1    ,,,282
20002,736074,86,749491,20002,86,37.4708,32168839,bad,bad,   0.008 *0.992,,,283
20002,736074,86,749491,20002,86,37.4708,75830645,good,good,  *0.786  0.214,,,284
20002,736074,86,749491,20002,86,37.4708,69654761,bad,bad,   0     *1    ,,,285
20002,736074,86,749491,20002,86,37.4708,19932324,bad,bad,   0     *1    ,,,286
20001,1710000,100,1720000,20001,100,86.1361,36025722,bad,bad,   0.009 *0.991,,,287
20001,1710000,100,1720000,20001,100,86.1361,44526267,bad,bad,   0     *1    ,,,288
20001,1710000,100,1720000,20001,100,86.1361,5890862,bad,bad,   0     *1    ,,,289
20001,1710000,100,1720000,20001,100,86.1361,81986705,bad,bad,   0     *1    ,,,290
20001,1710000,100,1720000,20001,100,86.1361,80361467,bad,bad,   0     *1    ,,,291
20001,1710000,100,1720000,20001,100,86.1361,75830647,good,good,  *0.791  0.209,,,292
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,59072881,bad,bad,   0     *1    ,,,293
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,43373442,bad,bad,   0     *1    ,,,294
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,13323659,bad,bad,   0.001 *0.999,,,295
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,75830645,good,good,  *0.786  0.214,,,296
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,81986705,bad,bad,   0     *1    ,,,297
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,19932324,bad,bad,   0     *1    ,,,298
20002,379371,49,389237,20002,49,19.4599,59072881,bad,bad,   0     *1    ,,,299
20002,379371,49,389237,20002,49,19.4599,44526267,bad,bad,   0     *1    ,,,300
20002,379371,49,389237,20002,49,19.4599,32168838,bad,bad,   0.008 *0.992,,,301
