DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmetricInfinityNorm,DiagonalMean,solver,class
20001,1590000,100,1610000,20001,100,80.4569,90197667,bad
20001,1590000,100,1610000,20001,100,80.4569,59072882,bad
20001,1590000,100,1610000,20001,100,80.4569,59072881,bad
20001,1590000,100,1610000,20001,100,80.4569,36025722,bad
20001,1590000,100,1610000,20001,100,80.4569,44526267,bad
20001,1590000,100,1610000,20001,100,80.4569,32168839,bad
20001,1590000,100,1610000,20001,100,80.4569,32168838,bad
20001,1590000,100,1610000,20001,100,80.4569,49834419,bad
20001,1590000,100,1610000,20001,100,80.4569,5890862,bad
20001,1590000,100,1610000,20001,100,80.4569,29030070,bad
20001,1590000,100,1610000,20001,100,80.4569,26415434,bad
20001,1590000,100,1610000,20001,100,80.4569,26415432,bad
20001,1590000,100,1610000,20001,100,80.4569,13323659,bad
20001,1590000,100,1610000,20001,100,80.4569,45869640,bad
20001,1590000,100,1610000,20001,100,80.4569,81986705,bad
20001,1590000,100,1610000,20001,100,80.4569,29553942,bad
20001,1590000,100,1610000,20001,100,80.4569,69654761,bad
20001,1590000,100,1610000,20001,100,80.4569,19932324,bad
20001,1590000,100,1610000,20001,100,80.4569,80361466,bad
20001,1590000,100,1610000,20001,100,80.4569,80361467,bad
20001,1590000,100,1610000,20001,100,80.4569,1216556,bad
20001,1590000,100,1610000,20001,100,80.4569,75830647,good
20002,334033,49,345368,20002,49,17.2667,90197667,bad
20002,334033,49,345368,20002,49,17.2667,59072882,bad
20002,334033,49,345368,20002,49,17.2667,36025722,bad
20002,334033,49,345368,20002,49,17.2667,53302993,bad
20002,334033,49,345368,20002,49,17.2667,44526267,bad
20002,334033,49,345368,20002,49,17.2667,8793453,bad
20002,334033,49,345368,20002,49,17.2667,32168839,bad
20002,334033,49,345368,20002,49,17.2667,32168838,bad
20002,334033,49,345368,20002,49,17.2667,49834419,bad
20002,334033,49,345368,20002,49,17.2667,43373442,bad
