@relation RS1_train_nnz>10000labelsonly_MOOSE

@attribute DiagonalNonZeros numeric
@attribute AbsoluteTrace numeric
@attribute OneNorm numeric
@attribute Trace numeric
@attribute Dimension numeric
@attribute SymmetricInfinityNorm numeric
@attribute DiagonalMean numeric
@attribute solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@attribute class {good,bad}


@data
20002.0,571390.0,87,582953.0,20002,87,29.1447,19932324,bad
20002.0,774077.0,86,786554.0,20002,86,39.3238,45869640,good
21636.0,706776.0,82,713278.0,21636,64,32.9672,1216556,bad
20002.0,447378.0,48,456079.0,20002,48,22.8017,32168838,bad
20002.0,366933.0,49,376981.0,20002,49,18.8471,32874609,bad
20002.0,433000000000.0,100000000,433000000000.0,20002,100000000,21600000.0,69654761,bad
20002.0,696070.0,86,707941.0,20002,86,35.3935,8793453,bad
20002.0,690736.0,86,704102.0,20002,86,35.2016,26415432,good
20002.0,424709.0,48,433789.0,20002,48,21.6873,90197665,bad
20002.0,650065.0,87,662253.0,20002,87,33.1093,80361466,bad
20002.0,379371.0,49,389107.0,20002,49,19.4534,45869640,good
20002.0,424709.0,48,433787.0,20002,48,21.6872,81986705,bad
20002.0,357369.0,48,368317.0,20002,48,18.414,36025722,bad
20002.0,358703.0,48,369033.0,20002,48,18.4498,26415434,good
20002.0,610728.0,85,623807.0,20002,85,31.1872,32874609,bad
10667.7,1320000.0,243,1320000.0,20002,245,66.1638,44526267,bad
20002.0,424042.0,48,433518.0,20002,48,21.6737,32168839,bad
20002.0,1630000.0,247,1640000.0,20002,247,81.9548,49834419,bad
20002.0,1410000.0,247,1430000.0,20002,247,71.3301,5890862,bad
20002.0,602060.0,90,609113.0,20002,90,30.4526,49834419,bad
40804.0,624301.0,68,645044.0,40804,47,15.8084,90197667,bad
10001.0,503384.0,113,510708.0,20002,115,25.5329,59072881,bad
20002.0,358703.0,48,369432.0,20002,48,18.4698,13323659,bad
20002.0,611394.0,86,622924.0,20002,86,31.1431,49834419,bad
21982.0,4020000.0,558,4020000.0,21982,463,182.74099999999999,32874609,bad
20001.0,1590000.0,100,1610000.0,20001,100,80.4526,29553942,bad
20164.0,125017.0,15,135805.0,20164,12,6.73503,43373442,bad
47604.7,292429.0,18,315220.0,51005,18,6.1801699999999995,26415432,bad
33333.3,53333.3,366,70291.1,40000,52,1.75728,80361466,bad
20002.0,426043.0,48,435045.0,20002,48,21.7501,90197667,bad
20002.0,736074.0,86,748729.0,20002,86,37.4327,90197665,bad
20002.0,379371.0,48,389687.0,20002,48,19.4824,90197667,bad
20002.0,654732.0,86,666965.0,20002,86,33.3449,59072882,bad
20002.0,1520000.0,248,1540000.0,20002,248,76.8172,13323659,bad
20164.0,73262.5,9,83128.6,20164,8,4.12263,43373442,bad
38666.7,109333.0,14,130051.0,40000,7,3.25129,29553942,bad
20002.0,650732.0,88,662978.0,20002,88,33.1456,26415432,good
30666.7,37333.3,4,48688.2,40000,3,1.2172,69654761,bad
40804.0,265226.0,34,278081.0,40804,22,6.81504,8793453,bad
20002.0,1520000.0,247,1530000.0,20002,247,76.6472,80361466,bad
20002.0,653399.0,85,666403.0,20002,85,33.3168,75830645,good
20002.0,1740000.0,247,1750000.0,20002,247,87.3606,43373442,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7257,29553942,bad
20002.0,424709.0,48,434328.0,20002,48,21.7142,5890862,bad
20001.0,1570000.0,100,1590000.0,20001,100,79.3169,59072881,bad
20002.0,650065.0,87,662216.0,20002,87,33.1075,75830645,good
20164.0,123673.0,15,133784.0,20164,12,6.63477,32874609,bad
20002.0,1520000.0,247,1540000.0,20002,247,76.8155,19932324,bad
27905.1,48466.8,3,61422.2,42592,3,1.44211,81986705,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7342,90197665,bad
8667.53,466713.0,112,472843.0,20002,114,23.6398,5890862,bad
8840.87,252305.0,99,259242.0,20402,94,12.7067,32168839,bad
20002.0,1670000.0,248,1690000.0,20002,248,84.4185,26415432,good
20164.0,73262.5,9,83085.3,20164,8,4.120480000000001,26415432,bad
20001.0,1570000.0,100,1590000.0,20001,100,79.3248,32168839,bad
38666.7,156000.0,41,176698.0,40000,15,4.41745,1216556,bad
67200.0,4200000.0,1808,4210000.0,67200,397,62.687,69654761,bad
20002.0,1630000.0,247,1640000.0,20002,247,81.98,29553942,bad
20002.0,1740000.0,247,1750000.0,20002,247,87.46799999999999,90197665,bad
20002.0,1740000.0,248,1750000.0,20002,248,87.5683,44526267,bad
40804.0,421641.0,57,429849.0,40804,38,10.5345,13323659,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7281,75830647,good
38666.7,145333.0,43,162363.0,40000,15,4.059080000000001,75830647,good
20164.0,77295.3,9,86490.1,20164,8,4.2893300000000005,19932324,bad
38666.7,186667.0,63,206334.0,40000,13,5.15835,36025722,bad
20002.0,424042.0,48,433549.0,20002,48,21.6753,19932324,bad
10667.7,584725.0,103,589320.0,20002,105,29.463,5890862,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5918,36025722,bad
20164.0,73262.5,9,83045.6,20164,8,4.11851,49834419,bad
20002.0,367000000000.0,101000000,367000000000.0,20002,101000000,18300000.0,19932324,bad
67200.0,2570000.0,1086,2590000.0,67200,246,38.5033,75830645,good
20164.0,68557.6,9,79081.5,20164,8,3.9219199999999996,19932324,bad
20002.0,538054.0,86,548751.0,20002,86,27.4348,26415434,good
20002.0,618062.0,86,630168.0,20002,86,31.5053,1216556,bad
20002.0,650732.0,85,663231.0,20002,85,33.1583,29030070,bad
20002.0,379371.0,49,389087.0,20002,49,19.4524,45869640,good
20164.0,73262.5,9,83055.0,20164,8,4.1189800000000005,29553942,bad
20002.0,690736.0,86,704102.0,20002,86,35.2016,36025722,bad
20002.0,333367.0,48,344978.0,20002,48,17.2472,90197667,bad
20002.0,1630000.0,247,1640000.0,20002,247,82.1271,69654761,bad
20164.0,98803.6,14,107698.0,20164,10,5.34112,80361467,bad
21576.0,3180000.0,558,3180000.0,21576,416,147.498,69654761,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5921,32168838,bad
21756.0,2830000.0,558,2830000.0,21756,332,129.937,26415432,bad
20002.0,1630000.0,247,1640000.0,20002,247,82.1118,80361466,bad
20164.0,1420000.0,399,1440000.0,20164,299,71.2303,81986705,bad
20002.0,448045.0,49,456413.0,20002,49,22.8184,80361466,bad
20002.0,492049.0,86,503565.0,20002,86,25.1757,69654761,bad
20002.0,690069.0,85,702773.0,20002,85,35.1351,26415432,good
20164.0,69901.9,9,80976.5,20164,8,4.0159,19932324,bad
20002.0,1740000.0,247,1750000.0,20002,247,87.46799999999999,32168838,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.583,32168838,bad
20164.0,68557.6,9,79080.0,20164,8,3.92184,36025722,bad
21576.0,3180000.0,558,3180000.0,21576,416,147.498,19932324,bad
34666.7,50666.7,238,64723.8,40000,35,1.6181,49834419,bad
20002.0,402707.0,49,412232.0,20002,49,20.6095,81986705,bad
20002.0,532720.0,88,544190.0,20002,88,27.2068,80361467,bad
20001.0,1660000.0,100,1680000.0,20001,100,83.8773,90197667,bad
20002.0,402040.0,49,411245.0,20002,49,20.5602,59072882,bad
12921.3,19721.9,3,32905.4,20402,3,1.61285,59072881,bad
20002.0,618062.0,86,630175.0,20002,86,31.5056,29030070,bad
20002.0,1520000.0,247,1530000.0,20002,247,76.6472,45869640,good
20002.0,401373.0,48,411243.0,20002,48,20.5601,29553942,bad
20002.0,469380.0,48,477839.0,20002,48,23.8895,90197667,bad
20002.0,578725.0,86,590593.0,20002,86,29.5267,81986705,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.6004,32168839,bad
20002.0,576724.0,86,587996.0,20002,86,29.3969,36025722,bad
20002.0,532720.0,85,544065.0,20002,85,27.2005,32168839,bad
11334.5,1380000.0,242,1390000.0,20002,244,69.2937,90197667,bad
20164.0,74606.8,9,84345.3,20164,8,4.18297,13323659,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.586,26415432,bad
20002.0,470047.0,50,479384.0,20002,50,23.9668,1216556,bad
20002.0,1520000.0,247,1530000.0,20002,247,76.5743,5890862,bad
20002.0,470047.0,50,479384.0,20002,50,23.9668,59072882,bad
20002.0,356702.0,49,367293.0,20002,49,18.3628,8793453,bad
21714.0,3880000.0,558,3880000.0,21714,463,178.628,36025722,bad
643204.0,485000000.0,1447,485000000.0,643204,1209,754.4760000000001,59072882,bad
20002.0,696070.0,86,707652.0,20002,86,35.3791,5890862,bad
635060.0,5140000.0,16,5470000.0,635060,16,8.61699,26415432,bad
40804.0,214901.0,36,233557.0,40804,24,5.72388,85490470,bad
30666.7,38666.7,4,51164.9,40000,3,1.27912,49834419,bad
20002.0,617395.0,86,628153.0,20002,86,31.4045,49834419,bad
20002.0,2060000.0,247,2070000.0,20002,247,103.41799999999999,26415432,good
20002.0,401373.0,48,411455.0,20002,48,20.5707,59072881,bad
20002.0,1740000.0,247,1750000.0,20002,247,87.3553,49834419,bad
20002.0,424709.0,48,433788.0,20002,48,21.6872,43373442,bad
20002.0,1850000.0,248,1860000.0,20002,248,92.9405,45869640,good
20164.0,125689.0,15,137132.0,20164,12,6.80081,90197665,bad
21552.0,3020000.0,558,3030000.0,21552,416,140.425,5890862,bad
9334.27,510051.0,130,516188.0,20002,132,25.8068,49834419,bad
20164.0,71918.3,9,81966.3,20164,8,4.06498,69654761,bad
20002.0,690069.0,85,703713.0,20002,85,35.1821,69654761,bad
20002.0,728740.0,88,742141.0,20002,88,37.1034,90197665,bad
20002.0,1520000.0,247,1530000.0,20002,247,76.6472,26415432,good
20002.0,690069.0,86,702293.0,20002,86,35.1111,43373442,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.587,29553942,bad
20002.0,594000000000.0,102000000,594000000000.0,20002,102000000,29700000.0,90197665,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5828,32168839,bad
20002.0,358036.0,51,369018.0,20002,51,18.449,19932324,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.6007,32874609,bad
20002.0,653399.0,85,666403.0,20002,85,33.3168,32874609,bad
20001.0,1590000.0,100,1610000.0,20001,100,80.4591,26415434,bad
40000.0,200000.0,2393,217586.0,40000,483,5.43966,80361466,bad
20002.0,402040.0,49,411585.0,20002,49,20.5772,32168838,bad
20002.0,1630000.0,247,1640000.0,20002,247,81.9224,13323659,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5957,59072881,bad
20001.0,1660000.0,100,1680000.0,20001,100,83.8726,29030070,bad
20002.0,357369.0,48,368400.0,20002,48,18.4182,90197665,bad
20002.0,775411.0,86,788386.0,20002,86,39.4154,19932324,bad
20002.0,696070.0,86,707949.0,20002,86,35.3939,32874609,bad
20002.0,650732.0,85,663343.0,20002,85,33.1638,75830645,bad
20002.0,1630000.0,247,1640000.0,20002,247,82.0065,36025722,bad
20002.0,352000000000.0,101000000,352000000000.0,20002,101000000,17600000.0,43373442,bad
11334.5,1410000.0,251,1420000.0,20002,253,70.7477,80361466,bad
10001.0,522052.0,125,529857.0,20002,127,26.4902,59072882,bad
20002.0,611394.0,85,623581.0,20002,85,31.1759,19932324,bad
20164.0,1720000.0,388,1730000.0,20164,287,85.7897,81986705,bad
20002.0,572057.0,88,583841.0,20002,88,29.1891,19932324,bad
20001.0,1660000.0,100,1680000.0,20001,100,83.865,26415434,bad
20001.0,1590000.0,100,1610000.0,20001,100,80.4532,1216556,bad
20002.0,424709.0,49,433367.0,20002,49,21.6662,1216556,bad
20002.0,1630000.0,248,1640000.0,20002,248,82.2141,69654761,bad
20002.0,1740000.0,248,1750000.0,20002,248,87.5545,53302993,bad
20002.0,696736.0,86,708914.0,20002,86,35.4422,32168839,bad
15641.5,64606.3,6,68110.8,20402,6,3.3384400000000003,1216556,bad
20002.0,731406.0,85,744746.0,20002,85,37.2336,29030070,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.584,5890862,bad
20002.0,694736.0,86,706725.0,20002,86,35.3327,26415434,good
10667.7,543388.0,127,551407.0,20002,129,27.5676,26415434,bad
67200.0,5040000.0,1808,5050000.0,67200,397,75.1617,45869640,bad
20002.0,1740000.0,247,1750000.0,20002,247,87.35600000000001,13323659,bad
10001.0,547388.0,103,552084.0,20002,105,27.6014,45869640,good
10001.0,547388.0,103,552216.0,20002,105,27.608,5890862,bad
20002.0,532720.0,88,544190.0,20002,88,27.2068,44526267,bad
12001.2,588726.0,137,596919.0,20002,139,29.843000000000004,26415432,bad
20002.0,358036.0,51,369122.0,20002,51,18.4542,80361467,bad
20002.0,652732.0,86,664830.0,20002,86,33.2382,29030070,bad
40320.0,607488.0,124,620895.0,40320,65,15.3992,19932324,bad
20002.0,380038.0,49,389166.0,20002,49,19.4564,45869640,good
20002.0,1840000.0,247,1860000.0,20002,247,92.7644,13323659,bad
20002.0,454000000000.0,101000000,454000000000.0,20002,101000000,22700000.0,49834419,bad
21752.0,4040000.0,558,4040000.0,21752,463,185.748,26415434,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7346,26415434,bad
38666.7,145333.0,43,162363.0,40000,15,4.059080000000001,81986705,bad
29333.3,40000.0,4,51868.0,40000,3,1.2967,59072881,bad
20002.0,570724.0,86,583070.0,20002,86,29.1506,80361466,bad
30666.7,34666.7,4,47706.6,40000,2,1.1926700000000001,44526267,bad
67200.0,5040000.0,1808,5050000.0,67200,397,75.1617,53302993,bad
20002.0,1850000.0,248,1860000.0,20002,248,92.9255,32168838,bad
20002.0,690069.0,85,703345.0,20002,85,35.1638,69654761,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7284,75830645,good
20002.0,611394.0,86,622911.0,20002,86,31.1424,5890862,bad
20002.0,470714.0,48,479124.0,20002,48,23.9538,29553942,bad
10667.7,1310000.0,242,1320000.0,20002,244,65.7801,59072881,bad
20164.0,71246.1,9,81745.0,20164,8,4.053999999999999,75830645,good
20002.0,650732.0,86,662500.0,20002,86,33.1217,59072881,bad
21930.0,3790000.0,558,3790000.0,21930,463,172.771,59072881,bad
20001.0,1570000.0,100,1590000.0,20001,100,79.3076,43373442,bad
21714.0,3470000.0,502,3470000.0,21714,416,159.885,53302993,bad
20002.0,356036.0,48,367272.0,20002,48,18.3618,1216556,bad
20002.0,657399.0,86,668844.0,20002,86,33.4388,49834419,bad
20001.0,1660000.0,100,1680000.0,20001,100,83.8611,32168838,bad
20002.0,650732.0,86,662741.0,20002,86,33.1338,26415432,good
40804.0,522291.0,78,537376.0,40804,46,13.1697,59072882,bad
20002.0,1520000.0,247,1530000.0,20002,247,76.6762,75830647,good
20002.0,1410000.0,247,1420000.0,20002,247,71.1658,13323659,bad
20002.0,356702.0,49,366959.0,20002,49,18.3461,43373442,bad
20002.0,602060.0,90,609114.0,20002,90,30.4526,26415434,good
40000.0,362667.0,1083,379089.0,40000,215,9.47723,80361466,bad
20002.0,446711.0,48,455645.0,20002,48,22.78,8793453,bad
20002.0,1310000.0,247,1320000.0,20002,247,66.0376,75830647,good
30666.7,38666.7,3,49327.0,40000,3,1.23318,75830647,good
20002.0,356036.0,48,367272.0,20002,48,18.3618,59072881,bad
20002.0,1630000.0,248,1640000.0,20002,248,82.1833,81986705,bad
21714.0,3860000.0,558,3860000.0,21714,463,177.638,13323659,bad
40804.0,214901.0,36,233557.0,40804,24,5.72388,26415432,bad
20002.0,492049.0,86,503582.0,20002,86,25.1766,36025722,bad
20002.0,379371.0,50,390694.0,20002,50,19.5328,29030070,bad
20002.0,498000000000.0,101000000,498000000000.0,20002,101000000,24900000.0,59072881,bad
40804.0,522291.0,78,537376.0,40804,46,13.1697,8793453,bad
20002.0,1840000.0,247,1850000.0,20002,247,92.7145,45869640,good
20002.0,446711.0,48,455603.0,20002,48,22.7779,90197667,bad
40320.0,607488.0,124,620895.0,40320,65,15.3992,32168839,bad
20002.0,728740.0,85,742877.0,20002,85,37.1401,29553942,bad
20001.0,1570000.0,100,1590000.0,20001,100,79.307,90197667,bad
20164.0,75951.1,9,85437.3,20164,8,4.23712,49834419,bad
21552.0,2850000.0,558,2860000.0,21552,416,132.54399999999998,1216556,bad
20164.0,123673.0,15,133634.0,20164,12,6.62736,5890862,bad
20002.0,424042.0,48,433528.0,20002,48,21.6743,75830647,good
20001.0,1570000.0,100,1590000.0,20001,100,79.3169,75830645,good
20002.0,356702.0,51,368851.0,20002,51,18.4407,8793453,bad
20002.0,1950000.0,247,1960000.0,20002,247,98.1395,75830647,good
51005.0,416541.0,39,438966.0,51005,30,8.60632,29553942,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5872,59072881,bad
38666.7,192000.0,43,211320.0,40000,15,5.2829999999999995,29030070,bad
20002.0,356702.0,49,366973.0,20002,49,18.3468,49834419,bad
21714.0,3860000.0,558,3860000.0,21714,463,177.638,44526267,bad
20002.0,689402.0,87,702014.0,20002,87,35.0972,53302993,bad
38666.7,144000.0,43,161548.0,40000,15,4.03871,32168839,bad
40804.0,216261.0,34,228666.0,40804,22,5.60401,32168839,bad
32653.9,52530.1,3,62090.1,42592,3,1.45779,80361467,bad
34666.7,46666.7,152,58186.9,40000,23,1.4546700000000001,26415434,bad
20002.0,1840000.0,247,1850000.0,20002,247,92.7398,26415432,good
20002.0,649398.0,87,662611.0,20002,87,33.1272,32874609,bad
20002.0,425376.0,48,434621.0,20002,48,21.7289,26415434,bad
20002.0,617395.0,86,628552.0,20002,86,31.4245,19932324,bad
29333.3,36000.0,20,49097.7,40000,3,1.2274399999999999,59072882,bad
9334.27,492049.0,116,499452.0,20002,118,24.9701,75830645,good
10001.0,548055.0,102,553708.0,20002,104,27.6826,80361466,bad
20001.0,1660000.0,100,1680000.0,20001,100,83.8602,5890862,bad
20002.0,402040.0,49,411213.0,20002,49,20.5586,32168839,bad
38666.7,150667.0,43,168438.0,40000,15,4.21095,81986705,bad
20002.0,1740000.0,247,1750000.0,20002,247,87.4415,26415434,good
20001.0,1640000.0,100,1650000.0,20001,100,82.7211,75830647,good
20002.0,653399.0,85,666528.0,20002,85,33.323,26415432,good
20001.0,1590000.0,100,1610000.0,20001,100,80.4661,5890862,bad
10001.0,548055.0,103,553019.0,20002,105,27.6482,75830647,good
20001.0,1640000.0,100,1650000.0,20001,100,82.7265,1216556,bad
20002.0,357369.0,48,368400.0,20002,48,18.4182,5890862,bad
20002.0,401000000000.0,103000000,401000000000.0,20002,103000000,20100000.0,59072882,bad
20002.0,689402.0,88,702369.0,20002,88,35.115,5890862,bad
20002.0,614061.0,85,626636.0,20002,85,31.3287,5890862,bad
20002.0,1410000.0,247,1430000.0,20002,247,71.3301,26415432,good
10667.7,587392.0,102,592609.0,20002,104,29.6275,90197665,bad
20002.0,1630000.0,247,1640000.0,20002,247,82.1485,19932324,bad
20001.0,1590000.0,100,1610000.0,20001,100,80.4555,80361466,bad
24135.5,44011.7,3,54652.6,42592,3,1.28316,29030070,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5832,8793453,bad
20002.0,424709.0,50,434950.0,20002,50,21.7453,81986705,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7256,90197665,bad
20002.0,390384.0,50,401560.0,20002,50,20.076,44526267,bad
20002.0,404040.0,48,413791.0,20002,48,20.6875,90197665,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5863,49834419,bad
20002.0,637000000000.0,102000000,637000000000.0,20002,102000000,31900000.0,59072882,bad
20002.0,692736.0,85,705230.0,20002,85,35.258,19932324,bad
20002.0,1530000.0,248,1540000.0,20002,248,76.82300000000001,32874609,bad
20002.0,567000000000.0,101000000,567000000000.0,20002,100000000,28300000.0,45869640,good
20002.0,448712.0,48,457363.0,20002,48,22.8659,29553942,bad
10667.7,542054.0,126,549481.0,20002,128,27.4713,36025722,bad
20002.0,649398.0,86,662259.0,20002,86,33.1096,69654761,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7247,5890862,bad
20002.0,403374.0,50,412331.0,20002,50,20.6145,80361467,bad
20002.0,402040.0,49,411219.0,20002,49,20.5589,90197667,bad
20002.0,402040.0,49,411219.0,20002,49,20.5589,69654761,bad
36723.6,111531.0,6,122778.0,40804,6,3.00897,49834419,bad
67200.0,5740000.0,1808,5760000.0,67200,397,85.6409,80361466,bad
12001.2,566057.0,118,574010.0,20002,120,28.6976,75830647,bad
20164.0,74606.8,9,84287.3,20164,8,4.18009,13323659,bad
21952.0,3930000.0,558,3930000.0,21952,463,179.122,29553942,bad
20002.0,1520000.0,247,1540000.0,20002,247,76.7798,29553942,bad
20002.0,402707.0,49,411279.0,20002,49,20.5619,75830647,good
20001.0,1620000.0,100,1630000.0,20001,100,81.5914,90197667,bad
28000.0,38666.7,4,51969.9,40000,3,1.29925,1216556,bad
20002.0,401373.0,48,411311.0,20002,48,20.5635,29553942,bad
20002.0,380038.0,48,390372.0,20002,48,19.5166,75830645,good
40804.0,421641.0,57,429849.0,40804,38,10.5345,36025722,bad
20002.0,650065.0,88,662840.0,20002,88,33.1387,59072882,bad
20002.0,1950000.0,247,1960000.0,20002,247,98.2264,36025722,bad
67200.0,3030000.0,1511,3040000.0,67200,392,45.2438,81986705,bad
20001.0,1620000.0,100,1630000.0,20001,100,81.5843,29553942,bad
20002.0,732740.0,86,746157.0,20002,86,37.3041,45869640,good
10001.0,503384.0,113,510479.0,20002,115,25.5214,80361467,bad
20002.0,1520000.0,247,1540000.0,20002,247,76.7973,43373442,bad
20001.0,1570000.0,100,1590000.0,20001,100,79.3169,90197667,bad
10001.0,506717.0,114,513411.0,20002,116,25.668000000000003,32168838,bad
20164.0,71918.3,9,81965.5,20164,8,4.06494,29030070,bad
20164.0,74606.8,9,84228.9,20164,8,4.17719,90197667,bad
10001.0,1250000.0,245,1260000.0,20002,247,62.773,69654761,bad
40804.0,214901.0,36,233557.0,40804,24,5.72388,43373442,bad
20002.0,1950000.0,247,1960000.0,20002,247,98.0302,75830645,good
20002.0,378705.0,48,389116.0,20002,48,19.4539,29553942,bad
20002.0,402707.0,49,412156.0,20002,49,20.6057,13323659,bad
20002.0,1740000.0,247,1750000.0,20002,247,87.3797,26415434,good
