@relation RS1_train_nnz>10000labelsonly_MOOSE

@attribute DiagonalNonZeros numeric
@attribute AbsoluteTrace numeric
@attribute OneNorm numeric
@attribute Trace numeric
@attribute Dimension numeric
@attribute SymmetricInfinityNorm numeric
@attribute DiagonalMean numeric
@attribute solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@attribute class {good,bad}


@data
20001.0,1640000.0,100,1650000.0,20001,100,82.7215,32168838,bad
20002.0,653399.0,85,666518.0,20002,85,33.3225,5890862,bad
20001.0,1590000.0,100,1610000.0,20001,100,80.4566,45869640,bad
38666.7,125333.0,43,143895.0,40000,15,3.5973699999999997,45869640,bad
20002.0,406000000000.0,100000000,406000000000.0,20002,100000000,20300000.0,80361467,bad
20002.0,379371.0,48,390144.0,20002,48,19.5052,26415434,good
20002.0,736074.0,86,748729.0,20002,86,37.4327,80361467,bad
51005.0,285628.0,18,307011.0,51005,18,6.01924,45869640,bad
30666.7,38666.7,3,49327.0,40000,3,1.23318,43373442,bad
20002.0,1520000.0,247,1540000.0,20002,247,76.7451,29030070,bad
20002.0,575391.0,86,587442.0,20002,86,29.3692,75830645,good
20002.0,807414.0,85,822178.0,20002,85,41.1048,32168839,bad
10001.0,1240000.0,242,1250000.0,20002,244,62.2599,75830645,bad
20002.0,578058.0,86,589174.0,20002,86,29.4558,80361466,bad
67200.0,1820000.0,660,1830000.0,67200,152,27.1608,1216556,bad
38666.7,161333.0,43,181262.0,40000,15,4.53156,49834419,bad
20001.0,1590000.0,100,1610000.0,20001,100,80.4593,36025722,bad
20002.0,1420000.0,247,1430000.0,20002,247,71.3432,75830647,good
20002.0,379371.0,48,389580.0,20002,48,19.4771,32168838,bad
9334.27,509384.0,102,515558.0,20002,104,25.7753,59072882,bad
10001.0,548055.0,103,552938.0,20002,105,27.6442,59072882,bad
20002.0,575391.0,86,587563.0,20002,86,29.3752,69654761,bad
20002.0,402040.0,48,411761.0,20002,48,20.586,32874609,bad
20002.0,470047.0,50,479382.0,20002,50,23.9667,59072881,bad
20002.0,653399.0,85,665811.0,20002,85,33.2872,44526267,bad
20002.0,356702.0,49,367604.0,20002,49,18.3783,59072882,bad
9334.27,510718.0,102,515941.0,20002,104,25.7945,5890862,bad
20002.0,402707.0,50,412699.0,20002,50,20.6329,36025722,bad
20002.0,358036.0,50,368016.0,20002,50,18.399,29553942,bad
20002.0,446711.0,48,455645.0,20002,48,22.78,43373442,bad
20002.0,378705.0,48,389442.0,20002,48,19.4702,32874609,bad
20002.0,356702.0,51,368851.0,20002,51,18.4407,32874609,bad
20002.0,356702.0,49,367637.0,20002,49,18.38,69654761,bad
10001.0,503384.0,113,510478.0,20002,115,25.5214,44526267,bad
20002.0,448045.0,48,456911.0,20002,48,22.8433,80361466,bad
20002.0,403374.0,50,412290.0,20002,50,20.6124,80361466,bad
20001.0,1570000.0,100,1590000.0,20001,100,79.3075,36025722,bad
20001.0,1640000.0,100,1650000.0,20001,100,82.7258,80361467,bad
20001.0,1590000.0,100,1610000.0,20001,100,80.4655,1216556,bad
20002.0,689402.0,88,702369.0,20002,88,35.115,32168839,bad
10881.1,348194.0,107,356505.0,20402,92,17.474,29030070,bad
20002.0,448712.0,48,457356.0,20002,48,22.8655,81986705,bad
20002.0,2060000.0,247,2070000.0,20002,247,103.417,13323659,bad
