DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmetricInfinityNorm,DiagonalMean,solver,actualclass
20002,538054,86,548751,20002,86,27.4348,5890862,bad
20002,538054,86,548751,20002,86,27.4348,29030070,bad
20002,538054,86,548751,20002,86,27.4348,26415432,bad
20002,649398,86,662194,20002,86,33.1064,59072882,bad
20002,649398,86,662194,20002,86,33.1064,49834419,bad
20002,649398,86,662194,20002,86,33.1064,80361467,bad
20002,649398,86,662194,20002,86,33.1064,75830647,good
20002,424709,49,433378,20002,49,21.6668,59072882,bad
20002,424709,49,433378,20002,49,21.6668,29030070,bad
20002,424709,49,433378,20002,49,21.6668,26415434,good
20002,424709,49,433378,20002,49,21.6668,13323659,bad
20002,424709,49,433378,20002,49,21.6668,75830645,good
20002,696736,86,708746,20002,86,35.4338,53302993,bad
20002,696736,86,708746,20002,86,35.4338,44526267,bad
20002,696736,86,708746,20002,86,35.4338,29030070,bad
20002,774077,86,786451,20002,86,39.3186,44526267,bad
20002,774077,86,786451,20002,86,39.3186,49834419,bad
20002,774077,86,786451,20002,86,39.3186,5890862,bad
20002,774077,86,786451,20002,86,39.3186,29030070,bad
20002,774077,86,786451,20002,86,39.3186,26415432,good
20002,774077,86,786451,20002,86,39.3186,81986705,bad
20002,774077,86,786451,20002,86,39.3186,29553942,bad
20002,696736,86,708996,20002,86,35.4463,90197667,bad
20002,696736,86,708996,20002,86,35.4463,59072882,bad
20002,696736,86,708996,20002,86,35.4463,8793453,bad
20002,696736,86,708996,20002,86,35.4463,32168839,bad
20002,696736,86,708996,20002,86,35.4463,32168838,bad
20002,696736,86,708996,20002,86,35.4463,19932324,bad
20002,696736,86,708996,20002,86,35.4463,80361466,bad
20002,696736,86,708996,20002,86,35.4463,80361467,bad
9334.27,1190000,247,1190000,20002,249,59.5851,44526267,bad
9334.27,1190000,247,1190000,20002,249,59.5851,32168838,bad
9334.27,1190000,247,1190000,20002,249,59.5851,29030070,bad
9334.27,1190000,247,1190000,20002,249,59.5851,13323659,bad
9334.27,1190000,247,1190000,20002,249,59.5851,81986705,bad
9334.27,1190000,247,1190000,20002,249,59.5851,29553942,bad
9334.27,1190000,247,1190000,20002,249,59.5851,69654761,bad
20002,650065,87,662216,20002,87,33.1075,59072881,bad
20002,650065,87,662216,20002,87,33.1075,29553942,bad
20002,650065,87,662216,20002,87,33.1075,32874609,bad
20002,650065,87,662216,20002,87,33.1075,90197665,bad
20002,650065,87,662216,20002,87,33.1075,1216556,bad
20002,1630000,247,1640000,20002,247,82.0953,59072881,bad
20002,1630000,247,1640000,20002,247,82.0953,53302993,bad
20002,1630000,247,1640000,20002,247,82.0953,43373442,bad
20164,72590.4,9,82556.4,20164,8,4.09425,59072881,bad
20164,72590.4,9,82556.4,20164,8,4.09425,36025722,bad
20164,72590.4,9,82556.4,20164,8,4.09425,8793453,bad
20164,72590.4,9,82556.4,20164,8,4.09425,32168838,bad
20164,72590.4,9,82556.4,20164,8,4.09425,5890862,bad
20164,72590.4,9,82556.4,20164,8,4.09425,26415432,bad
20164,72590.4,9,82556.4,20164,8,4.09425,32874609,bad
20164,72590.4,9,82556.4,20164,8,4.09425,75830647,good
28000,37333.3,4,48566.2,40000,3,1.21415,36025722,bad
28000,37333.3,4,48566.2,40000,3,1.21415,44526267,bad
28000,37333.3,4,48566.2,40000,3,1.21415,69654761,bad
21576,3180000,558,3180000,21576,416,147.498,81986705,bad
21576,3180000,558,3180000,21576,416,147.498,29553942,bad
21576,3180000,558,3180000,21576,416,147.498,90197665,bad
20002,448045,50,456955,20002,50,22.8455,44526267,bad
20002,448045,50,456955,20002,50,22.8455,32168839,bad
20002,448045,50,456955,20002,50,22.8455,81986705,bad
20002,448045,50,456955,20002,50,22.8455,90197665,bad
20002,696070,86,707652,20002,86,35.3791,90197667,bad
20002,696070,86,707652,20002,86,35.3791,53302993,bad
20002,696070,86,707652,20002,86,35.3791,29030070,bad
20002,696070,86,707652,20002,86,35.3791,26415434,good
38666.7,164000,43,184874,40000,15,4.62186,90197667,bad
38666.7,164000,43,184874,40000,15,4.62186,29553942,bad
38666.7,164000,43,184874,40000,15,4.62186,90197665,bad
38666.7,164000,43,184874,40000,15,4.62186,80361467,bad
20002,1630000,247,1640000,20002,247,82.1634,32168838,bad
20002,1630000,247,1640000,20002,247,82.1634,49834419,bad
20002,1630000,247,1640000,20002,247,82.1634,43373442,bad
20002,1630000,247,1640000,20002,247,82.1634,45869640,good
20002,1630000,247,1640000,20002,247,82.1634,80361467,bad
20002,1630000,247,1640000,20002,247,82.1634,75830647,bad
20002,656732,86,668568,20002,86,33.4251,59072882,bad
20002,656732,86,668568,20002,86,33.4251,59072881,bad
20002,656732,86,668568,20002,86,33.4251,8793453,bad
20002,656732,86,668568,20002,86,33.4251,32168839,bad
20002,656732,86,668568,20002,86,33.4251,43373442,bad
20002,656732,86,668568,20002,86,33.4251,13323659,bad
20002,656732,86,668568,20002,86,33.4251,45869640,good
20002,656732,86,668568,20002,86,33.4251,90197665,bad
20002,656732,86,668568,20002,86,33.4251,80361467,bad
20002,692736,85,705218,20002,85,35.2574,59072881,bad
20002,692736,85,705218,20002,85,35.2574,32168839,bad
20002,692736,85,705218,20002,85,35.2574,49834419,bad
20002,692736,85,705218,20002,85,35.2574,29030070,bad
20002,692736,85,705218,20002,85,35.2574,26415432,good
20002,692736,85,705218,20002,85,35.2574,81986705,bad
20002,728740,86,741465,20002,86,37.0695,36025722,bad
20002,728740,86,741465,20002,86,37.0695,53302993,bad
20002,728740,86,741465,20002,86,37.0695,69654761,bad
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,90197667,bad
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,53302993,bad
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,5890862,bad
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,29030070,bad
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,13323659,bad
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,19932324,bad
20002,6.6E+11,100000000,6.6E+11,20002,100000000,33000000,75830647,good
20002,690736,86,704102,20002,86,35.2016,53302993,bad
20002,690736,86,704102,20002,86,35.2016,5890862,bad
20002,690736,86,704102,20002,86,35.2016,26415434,good
20002,690736,86,704102,20002,86,35.2016,19932324,bad
20002,690736,86,704102,20002,86,35.2016,1216556,bad
20002,1740000,247,1750000,20002,247,87.3315,32168838,bad
20002,1740000,247,1750000,20002,247,87.3315,43373442,bad
20002,1740000,247,1750000,20002,247,87.3315,29030070,bad
20002,1740000,247,1750000,20002,247,87.3315,45869640,good
20002,1740000,247,1750000,20002,247,87.3315,32874609,bad
20002,1740000,247,1750000,20002,247,87.3315,19932324,bad
20002,1740000,247,1750000,20002,247,87.3315,80361467,bad
20002,1740000,247,1750000,20002,247,87.3315,1216556,bad
12001.2,1460000,246,1460000,20002,248,73.0696,32168839,bad
12001.2,1460000,246,1460000,20002,248,73.0696,45869640,good
12001.2,1460000,246,1460000,20002,248,73.0696,19932324,bad
12001.2,1460000,246,1460000,20002,248,73.0696,80361466,bad
12001.2,1460000,246,1460000,20002,248,73.0696,1216556,bad
12001.2,1460000,246,1460000,20002,248,73.0696,75830647,good
20002,494049,86,505710,20002,86,25.2829,59072882,bad
20002,494049,86,505710,20002,86,25.2829,36025722,bad
20002,494049,86,505710,20002,86,25.2829,26415434,bad
20002,494049,86,505710,20002,86,25.2829,45869640,good
20002,494049,86,505710,20002,86,25.2829,81986705,bad
20002,494049,86,505710,20002,86,25.2829,29553942,bad
20002,424709,48,433889,20002,48,21.6923,53302993,bad
20002,424709,48,433889,20002,48,21.6923,1216556,bad
8000.8,1070000,252,1080000,20002,254,53.8246,26415434,bad
8000.8,1070000,252,1080000,20002,254,53.8246,13323659,bad
8000.8,1070000,252,1080000,20002,254,53.8246,45869640,good
8000.8,1070000,252,1080000,20002,254,53.8246,75830645,good
8000.8,1070000,252,1080000,20002,254,53.8246,29553942,bad
8000.8,1070000,252,1080000,20002,254,53.8246,1216556,bad
8000.8,1070000,252,1080000,20002,254,53.8246,75830647,good
20002,650065,87,662216,20002,87,33.1075,75830645,bad
20002,1740000,247,1750000,20002,247,87.4535,90197667,bad
20002,1740000,247,1750000,20002,247,87.4535,32168838,bad
20002,1740000,247,1750000,20002,247,87.4535,13323659,bad
29333.3,40000,4,51868,40000,3,1.2967,90197667,bad
29333.3,40000,4,51868,40000,3,1.2967,49834419,bad
29333.3,40000,4,51868,40000,3,1.2967,29030070,bad
29333.3,40000,4,51868,40000,3,1.2967,13323659,bad
38666.7,178667,43,196633,40000,15,4.91583,59072881,bad
38666.7,178667,43,196633,40000,15,4.91583,5890862,bad
38666.7,178667,43,196633,40000,15,4.91583,80361466,bad
20002,735407,86,747497,20002,86,37.3711,36025722,bad
20002,735407,86,747497,20002,86,37.3711,45869640,good
20002,735407,86,747497,20002,86,37.3711,80361467,bad
20164,73262.5,9,83254.1,20164,8,4.12885,53302993,bad
20164,73262.5,9,83254.1,20164,8,4.12885,8793453,bad
20164,73262.5,9,83254.1,20164,8,4.12885,26415434,bad
20002,424042,48,433420,20002,48,21.6688,8793453,bad
20002,424042,48,433420,20002,48,21.6688,5890862,bad
20002,424042,48,433420,20002,48,21.6688,26415434,bad
20002,424042,48,433420,20002,48,21.6688,26415432,good
20002,424042,48,433420,20002,48,21.6688,1216556,bad
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,44526267,bad
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,13323659,bad
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,75830645,good
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,90197665,bad
20002,1.48E+11,69900000,1.48E+11,20002,70000000,7420000,75830647,good
20002,3.83E+11,100000000,3.83E+11,20002,100000000,19200000,5890862,bad
20002,3.83E+11,100000000,3.83E+11,20002,100000000,19200000,81986705,bad
20002,3.83E+11,100000000,3.83E+11,20002,100000000,19200000,90197665,bad
51005,300930,18,322465,51005,18,6.32222,32168838,bad
51005,300930,18,322465,51005,18,6.32222,45869640,bad
20002,426709,48,436127,20002,48,21.8042,90197667,bad
20002,426709,48,436127,20002,48,21.8042,49834419,bad
20002,426709,48,436127,20002,48,21.8042,29030070,bad
20002,426709,48,436127,20002,48,21.8042,80361467,bad
20002,426709,48,436127,20002,48,21.8042,75830647,bad
20002,2060000,248,2070000,20002,248,103.672,90197667,bad
20002,2060000,248,2070000,20002,248,103.672,36025722,bad
20002,2060000,248,2070000,20002,248,103.672,53302993,bad
20002,2060000,248,2070000,20002,248,103.672,19932324,bad
20002,2060000,248,2070000,20002,248,103.672,80361466,bad
20002,2060000,248,2070000,20002,248,103.672,1216556,bad
20002,2060000,248,2070000,20002,248,103.672,75830647,good
20002,1740000,247,1750000,20002,247,87.3325,44526267,bad
20002,1740000,247,1750000,20002,247,87.3325,32168839,bad
20002,1740000,247,1750000,20002,247,87.3325,49834419,bad
20002,1740000,247,1750000,20002,247,87.3325,29030070,bad
20002,1740000,247,1750000,20002,247,87.3325,26415432,bad
20002,1740000,247,1750000,20002,247,87.3325,81986705,bad
20002,1740000,247,1750000,20002,247,87.3325,69654761,bad
20002,1740000,247,1750000,20002,247,87.3325,90197665,bad
20002,1630000,247,1640000,20002,247,82.1296,59072881,bad
20002,1630000,247,1640000,20002,247,82.1296,44526267,bad
20002,1630000,247,1640000,20002,247,82.1296,29553942,bad
20002,1850000,247,1860000,20002,247,92.8934,53302993,bad
20002,1850000,247,1860000,20002,247,92.8934,32168839,bad
20002,1850000,247,1860000,20002,247,92.8934,5890862,bad
20002,1850000,247,1860000,20002,247,92.8934,26415434,good
20002,1850000,247,1860000,20002,247,92.8934,69654761,bad
20002,1850000,247,1860000,20002,247,92.8934,90197665,bad
20002,1850000,247,1860000,20002,247,92.8934,1216556,bad
20002,1630000,247,1640000,20002,247,82.1774,90197667,bad
20002,1630000,247,1640000,20002,247,82.1774,36025722,bad
20002,1630000,247,1640000,20002,247,82.1774,44526267,bad
20002,1630000,247,1640000,20002,247,82.1774,32168838,bad
20002,1630000,247,1640000,20002,247,82.1774,49834419,bad
20002,1630000,247,1640000,20002,247,82.1774,43373442,bad
20002,1630000,247,1640000,20002,247,82.1774,5890862,bad
20002,1630000,247,1640000,20002,247,82.1774,69654761,bad
20002,1630000,247,1640000,20002,247,82.1774,80361466,bad
20002,1630000,247,1640000,20002,247,82.1774,80361467,bad
20002,1630000,247,1640000,20002,247,82.1774,1216556,bad
47604.7,292429,18,315220,51005,18,6.18017,29553942,bad
47604.7,292429,18,315220,51005,18,6.18017,90197665,bad
47604.7,292429,18,315220,51005,18,6.18017,80361466,bad
20002,447378,49,456199,20002,49,22.8077,90197667,bad
20002,447378,49,456199,20002,49,22.8077,36025722,bad
20002,447378,49,456199,20002,49,22.8077,32168838,bad
20002,447378,49,456199,20002,49,22.8077,29030070,bad
20002,447378,49,456199,20002,49,22.8077,13323659,bad
20002,424709,48,434120,20002,48,21.7039,59072882,bad
20002,571390,87,582953,20002,87,29.1447,32168839,bad
20002,571390,87,582953,20002,87,29.1447,5890862,bad
20002,571390,87,582953,20002,87,29.1447,26415434,good
20002,571390,87,582953,20002,87,29.1447,45869640,good
20002,571390,87,582953,20002,87,29.1447,69654761,bad
20002,571390,87,582953,20002,87,29.1447,1216556,bad
20002,571390,87,582953,20002,87,29.1447,75830647,good
11334.5,622062,103,626875,20002,105,31.3406,59072882,bad
11334.5,622062,103,626875,20002,105,31.3406,32168839,bad
11334.5,622062,103,626875,20002,105,31.3406,19932324,bad
11334.5,622062,103,626875,20002,105,31.3406,1216556,bad
20002,1950000,247,1970000,20002,247,98.2617,59072882,bad
20002,1950000,247,1970000,20002,247,98.2617,36025722,bad
20002,1950000,247,1970000,20002,247,98.2617,53302993,bad
20002,1950000,247,1970000,20002,247,98.2617,49834419,bad
20002,1950000,247,1970000,20002,247,98.2617,26415432,good
20002,1950000,247,1970000,20002,247,98.2617,81986705,bad
20002,1950000,247,1970000,20002,247,98.2617,80361467,bad
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,90197667,bad
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,53302993,bad
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,26415432,bad
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,80361466,bad
20002,617395,86,628552,20002,86,31.4245,90197667,bad
20002,617395,86,628552,20002,86,31.4245,36025722,bad
20002,617395,86,628552,20002,86,31.4245,8793453,bad
20002,617395,86,628552,20002,86,31.4245,29030070,bad
20002,617395,86,628552,20002,86,31.4245,26415432,good
20002,617395,86,628552,20002,86,31.4245,90197665,bad
44204.3,317931,26,350899,51005,25,6.8797,59072881,bad
44204.3,317931,26,350899,51005,25,6.8797,36025722,bad
44204.3,317931,26,350899,51005,25,6.8797,81986705,bad
44204.3,317931,26,350899,51005,25,6.8797,90197665,bad
44204.3,317931,26,350899,51005,25,6.8797,80361467,bad
20002,736074,86,749491,20002,86,37.4708,32168839,bad
20002,736074,86,749491,20002,86,37.4708,75830645,good
20002,736074,86,749491,20002,86,37.4708,69654761,bad
20002,736074,86,749491,20002,86,37.4708,19932324,bad
20001,1710000,100,1720000,20001,100,86.1361,36025722,bad
20001,1710000,100,1720000,20001,100,86.1361,44526267,bad
20001,1710000,100,1720000,20001,100,86.1361,5890862,bad
20001,1710000,100,1720000,20001,100,86.1361,81986705,bad
20001,1710000,100,1720000,20001,100,86.1361,80361467,bad
20001,1710000,100,1720000,20001,100,86.1361,75830647,good
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,59072881,bad
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,43373442,bad
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,13323659,bad
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,75830645,good
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,81986705,bad
20002,4.01E+11,103000000,4.01E+11,20002,103000000,20000000,19932324,bad
20002,379371,49,389237,20002,49,19.4599,59072881,bad
20002,379371,49,389237,20002,49,19.4599,44526267,bad
20002,379371,49,389237,20002,49,19.4599,32168838,bad
20002,379371,49,389237,20002,49,19.4599,49834419,bad
20002,379371,49,389237,20002,49,19.4599,43373442,bad
20002,379371,49,389237,20002,49,19.4599,26415432,good
20002,379371,49,389237,20002,49,19.4599,90197665,bad
20002,379371,49,389237,20002,49,19.4599,80361466,bad
20002,424709,49,433447,20002,49,21.6702,44526267,bad
20002,424709,49,433447,20002,49,21.6702,8793453,bad
20002,424709,49,433447,20002,49,21.6702,29030070,bad
20002,424709,49,433447,20002,49,21.6702,13323659,bad
20002,4.29E+11,101000000,4.29E+11,20002,101000000,21500000,59072882,bad
20002,4.29E+11,101000000,4.29E+11,20002,101000000,21500000,36025722,bad
20002,4.29E+11,101000000,4.29E+11,20002,101000000,21500000,8793453,bad
20002,4.29E+11,101000000,4.29E+11,20002,101000000,21500000,13323659,bad
20002,4.29E+11,101000000,4.29E+11,20002,101000000,21500000,69654761,bad
20002,4.29E+11,101000000,4.29E+11,20002,101000000,21500000,80361466,bad
20002,6.11E+11,103000000,6.11E+11,20002,103000000,30600000,29030070,bad
20002,6.11E+11,103000000,6.11E+11,20002,103000000,30600000,26415434,bad
20002,6.11E+11,103000000,6.11E+11,20002,103000000,30600000,26415432,bad
20002,6.11E+11,103000000,6.11E+11,20002,103000000,30600000,45869640,good
20002,6.11E+11,103000000,6.11E+11,20002,103000000,30600000,80361466,bad
20002,6.11E+11,103000000,6.11E+11,20002,103000000,30600000,80361467,bad
32653.9,52530.1,3,62090.1,42592,3,1.45779,75830645,good
32653.9,52530.1,3,62090.1,42592,3,1.45779,81986705,bad
32653.9,52530.1,3,62090.1,42592,3,1.45779,69654761,bad
32653.9,52530.1,3,62090.1,42592,3,1.45779,90197665,bad
32653.9,52530.1,3,62090.1,42592,3,1.45779,19932324,bad
32653.9,52530.1,3,62090.1,42592,3,1.45779,80361466,bad
20002,1310000,247,1320000,20002,247,65.9281,59072882,bad
20002,1310000,247,1320000,20002,247,65.9281,32168838,bad
20002,1310000,247,1320000,20002,247,65.9281,69654761,bad
20002,1310000,247,1320000,20002,247,65.9281,90197665,bad
20002,1310000,247,1320000,20002,247,65.9281,80361467,bad
20002,532053,87,543370,20002,87,27.1658,43373442,bad
20002,532053,87,543370,20002,87,27.1658,5890862,bad
20002,532053,87,543370,20002,87,27.1658,29030070,bad
20002,532053,87,543370,20002,87,27.1658,80361466,bad
8667.53,493383,133,499118,20002,135,24.9534,59072882,bad
8667.53,493383,133,499118,20002,135,24.9534,44526267,bad
8667.53,493383,133,499118,20002,135,24.9534,32168838,bad
8667.53,493383,133,499118,20002,135,24.9534,80361466,bad
20002,1740000,247,1750000,20002,247,87.3606,59072881,bad
20002,1740000,247,1750000,20002,247,87.3606,5890862,bad
20002,1740000,247,1750000,20002,247,87.3606,26415434,good
20002,1740000,247,1750000,20002,247,87.3606,26415432,good
20002,1740000,247,1750000,20002,247,87.3606,69654761,bad
20002,1740000,247,1750000,20002,247,87.3606,32874609,bad
20002,1740000,247,1750000,20002,247,87.3606,80361466,bad
21786,4050000,558,4050000,21786,463,185.762,90197667,bad
21786,4050000,558,4050000,21786,463,185.762,44526267,bad
21786,4050000,558,4050000,21786,463,185.762,32168838,bad
21786,4050000,558,4050000,21786,463,185.762,5890862,bad
21786,4050000,558,4050000,21786,463,185.762,26415434,bad
21786,4050000,558,4050000,21786,463,185.762,1216556,bad
20002,381371,48,391259,20002,48,19.561,59072882,bad
20002,381371,48,391259,20002,48,19.561,32168838,bad
20002,381371,48,391259,20002,48,19.561,26415434,good
20002,381371,48,391259,20002,48,19.561,13323659,bad
20002,381371,48,391259,20002,48,19.561,29553942,bad
20002,381371,48,391259,20002,48,19.561,32874609,bad
20002,381371,48,391259,20002,48,19.561,75830647,good
20002,379371,49,389170,20002,49,19.4566,44526267,bad
20002,379371,49,389170,20002,49,19.4566,43373442,bad
20002,379371,49,389170,20002,49,19.4566,13323659,bad
20002,379371,49,389170,20002,49,19.4566,81986705,bad
20002,379371,49,389170,20002,49,19.4566,75830647,bad
21552,3020000,558,3030000,21552,416,140.425,44526267,bad
21552,3020000,558,3030000,21552,416,140.425,8793453,bad
21552,3020000,558,3030000,21552,416,140.425,32168839,bad
21552,3020000,558,3030000,21552,416,140.425,29030070,bad
21552,3020000,558,3030000,21552,416,140.425,29553942,bad
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,29030070,bad
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,26415434,bad
20002,4.51E+11,101000000,4.51E+11,20002,101000000,22600000,45869640,good
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,43373442,bad
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,29030070,bad
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,26415434,bad
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,75830645,good
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,81986705,bad
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,69654761,bad
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,32874609,bad
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,80361467,bad
20002,5.24E+11,100000000,5.24E+11,20002,100000000,26200000,1216556,bad
20002,424709,49,433353,20002,49,21.6655,90197667,bad
20002,424709,49,433353,20002,49,21.6655,45869640,good
20002,424709,49,433353,20002,49,21.6655,69654761,bad
20002,424709,49,433353,20002,49,21.6655,19932324,bad
20002,424709,49,433353,20002,49,21.6655,80361466,bad
20002,356702,51,368855,20002,51,18.4409,43373442,bad
20002,356702,51,368855,20002,51,18.4409,29030070,bad
20002,356702,51,368855,20002,51,18.4409,75830645,bad
20002,356702,51,368855,20002,51,18.4409,69654761,bad
20002,356702,51,368855,20002,51,18.4409,1216556,bad
20001,1660000,100,1680000,20001,100,83.8642,59072882,bad
20001,1660000,100,1680000,20001,100,83.8642,59072881,bad
20001,1660000,100,1680000,20001,100,83.8642,36025722,bad
20001,1660000,100,1680000,20001,100,83.8642,44526267,bad
20001,1660000,100,1680000,20001,100,83.8642,32168839,bad
20001,1660000,100,1680000,20001,100,83.8642,5890862,bad
20001,1660000,100,1680000,20001,100,83.8642,26415432,bad
20001,1660000,100,1680000,20001,100,83.8642,75830645,good
20001,1660000,100,1680000,20001,100,83.8642,81986705,bad
20001,1660000,100,1680000,20001,100,83.8642,80361466,bad
28000,38666.7,20,52026.9,40000,3,1.30067,59072881,bad
28000,38666.7,20,52026.9,40000,3,1.30067,32168838,bad
28000,38666.7,20,52026.9,40000,3,1.30067,43373442,bad
28000,38666.7,20,52026.9,40000,3,1.30067,29030070,bad
28000,38666.7,20,52026.9,40000,3,1.30067,26415432,bad
28000,38666.7,20,52026.9,40000,3,1.30067,13323659,bad
28000,38666.7,20,52026.9,40000,3,1.30067,75830645,good
28000,38666.7,20,52026.9,40000,3,1.30067,19932324,bad
28000,38666.7,20,52026.9,40000,3,1.30067,75830647,good
20002,3.98E+11,102000000,3.98E+11,20002,102000000,19900000,59072882,bad
20002,3.98E+11,102000000,3.98E+11,20002,102000000,19900000,29030070,bad
20002,3.98E+11,102000000,3.98E+11,20002,102000000,19900000,32874609,bad
20002,3.98E+11,102000000,3.98E+11,20002,102000000,19900000,80361466,bad
20002,3.98E+11,102000000,3.98E+11,20002,102000000,19900000,1216556,bad
8840.87,252305,99,259286,20402,94,12.7088,36025722,bad
8840.87,252305,99,259286,20402,94,12.7088,32168839,bad
8840.87,252305,99,259286,20402,94,12.7088,32168838,bad
8840.87,252305,99,259286,20402,94,12.7088,29030070,bad
8840.87,252305,99,259286,20402,94,12.7088,75830645,good
20002,775411,86,788379,20002,86,39.415,43373442,bad
20002,775411,86,788379,20002,86,39.415,81986705,bad
20002,775411,86,788379,20002,86,39.415,29553942,bad
20002,775411,86,788379,20002,86,39.415,69654761,bad
20002,775411,86,788379,20002,86,39.415,1216556,bad
20164,1740000,399,1750000,20164,299,86.9914,90197667,bad
20164,1740000,399,1750000,20164,299,86.9914,59072881,bad
20164,1740000,399,1750000,20164,299,86.9914,32168838,bad
20164,1740000,399,1750000,20164,299,86.9914,80361467,bad
20164,1740000,399,1750000,20164,299,86.9914,85490470,bad
20002,696736,86,709768,20002,86,35.4848,90197667,bad
20002,696736,86,709768,20002,86,35.4848,53302993,bad
20002,696736,86,709768,20002,86,35.4848,43373442,bad
20002,696736,86,709768,20002,86,35.4848,29030070,bad
20002,696736,86,709768,20002,86,35.4848,69654761,bad
20002,696736,86,709768,20002,86,35.4848,90197665,bad
20002,696736,86,709768,20002,86,35.4848,75830647,good
20002,5.67E+11,101000000,5.67E+11,20002,100000000,28300000,90197667,bad
20002,5.67E+11,101000000,5.67E+11,20002,100000000,28300000,36025722,bad
20002,5.67E+11,101000000,5.67E+11,20002,100000000,28300000,26415432,bad
20002,5.67E+11,101000000,5.67E+11,20002,100000000,28300000,81986705,bad
20002,5.67E+11,101000000,5.67E+11,20002,100000000,28300000,32874609,bad
20002,5.67E+11,101000000,5.67E+11,20002,100000000,28300000,19932324,bad
20002,5.67E+11,101000000,5.67E+11,20002,100000000,28300000,75830647,good
20002,1740000,247,1750000,20002,247,87.4886,59072881,bad
20002,1740000,247,1750000,20002,247,87.4886,53302993,bad
20002,1740000,247,1750000,20002,247,87.4886,45869640,good
20002,1740000,247,1750000,20002,247,87.4886,75830645,good
20002,1740000,247,1750000,20002,247,87.4886,81986705,bad
20002,1740000,247,1750000,20002,247,87.4886,32874609,bad
