DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmetricInfinityNorm,DiagonalMean,solver,actualclass
20001,1590000,100,1610000,20001,100,80.4569,59072881,bad
20001,1590000,100,1610000,20001,100,80.4569,75830647,good
20002,334033,49,345368,20002,49,17.2667,43373442,bad
20002,334033,49,345368,20002,49,17.2667,81986705,bad
20002,334033,49,345368,20002,49,17.2667,19932324,bad
20002,334033,49,345368,20002,49,17.2667,80361467,bad
20002,334033,49,345368,20002,49,17.2667,1216556,bad
20002,696736,86,708914,20002,86,35.4422,8793453,bad
20002,696736,86,708914,20002,86,35.4422,29030070,bad
20002,696736,86,708914,20002,86,35.4422,13323659,bad
20002,696736,86,708914,20002,86,35.4422,29553942,bad
20002,571390,86,582860,20002,86,29.1401,53302993,bad
20002,571390,86,582860,20002,86,29.1401,75830645,good
20002,571390,86,582860,20002,86,29.1401,1216556,bad
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,43373442,bad
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,29030070,bad
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,26415434,bad
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,45869640,good
20002,7.1E+11,101000000,7.1E+11,20002,101000000,35500000,90197665,bad
20002,532053,88,543766,20002,88,27.1856,32168838,bad
20002,532053,88,543766,20002,88,27.1856,29030070,bad
20002,532053,88,543766,20002,88,27.1856,26415432,good
20002,358703,48,369238,20002,48,18.46,26415432,good
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,59072881,bad
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,53302993,bad
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,19932324,bad
20002,6.46E+11,104000000,6.46E+11,20002,104000000,32300000,75830647,good
10001,506051,114,512984,20002,116,25.6466,32168839,bad
10001,506051,114,512984,20002,116,25.6466,26415432,bad
10001,506051,114,512984,20002,116,25.6466,80361466,bad
20002,538054,86,548751,20002,86,27.4348,32168838,bad
